Timestamp,In which GWF campus are you currently enrolled? ,Please indicate how the programme is meeting your expectations this year: ,Please describe 3 positive aspects of the programme that you have experienced this year. ,Name 3 challenges you have experienced in the programme so far.,How could we improve the BYA Programme?,Did you find your stationery packs useful?,What is the most important thing you have learnt about yourself this year so far? ,What will you do differently in the second half of the year? ,Are you likely to recommend this programme to others? ,Please give a reason for your answer above. ,Feel free to share a message with your BYA Team (Facilitators and Coordinator).,Feel free to share a message with the 2024 FA Students. (PDLC students to leave this question blank)
7/16/2024 8:18:34,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"I learn new things
I meet new people
I have some good facilitators","Changing of different facilitators
Bad attitude 
Hard to cope with a lot of work",For facilitators to not expect us to do a lot of things in a short period of time.,Yes,That I am capable of doing a lot.,Manage my time.,Yes,So that they can learn new things and get out of their comfort zone.,"Some facilitators must be nice to us, we all have bad days but we don't take them out on others.",I have had a great time with you guys and I hope you learned as much as I did.
7/16/2024 8:22:46,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I learnt new skills
I learnt how to teamwork
I gained more knowledge in things i did not know","Getting to know the new environment 
I had challenges with excel but i got help and got better
I had self doubt in the first few weeks",By introducing a new skill improving courses or activities,Yes,That i am good at communicating with people and teamwork,Improve my time management ,Yes,This program improves ones skills and helps one gain more information,I thank you all for the great experience and being polite and patient with us.,You made doing this more fun and much easier by the laughter and the information we share together.
7/16/2024 8:24:32,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Always being positive , Hardworking and Focus.","Excel module was challenging me , English speaking was challenging me and to prepare presentations too.",Be strictly to the students and force them to speak English when they are inside the campus.,Yes,I learnt that I am a hard working person who dedicates herself every time.,I will Improve my results of new modules which I am not conscious about.,Yes,"Because they would also  experience new skills, norms and modules   of the BYA programmer.",Yes,Yes
7/16/2024 8:24:35,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"I have experience a lot like knowing my weakness and goal
learning how to be confident 
and overcoming my fear of standing in front of people.","my challenges was doing excel for the first time it was very difficult for me.
standing  in front of people and present it was not easy.",So far I do not see anything wrong with the program ,Yes,I have learn that I can overcome my fear as long as I  put my mind in it.,Do my work better and pass my exams,Yes,In this program the is a lot to learn things we did not know ,Thank you for not giving up on me even though I was so difficult and always failing my test but you made sure that I ended up passing.,Do your best it wont be easy but do not give up.
7/16/2024 8:26:00,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I learnt how to use a computer
I learnt how to communicate using only English
I now have confidence","keeping up with my studies
waking up early in the morning
trying new things ",By making more classes and building new campus around rural areas,Yes,I learnt to be kind and respect people including my facilitators and I learnt computer ,I will take my school work seriously and put more pressure in my study,Yes,Because this program is useful and it will help lot of people in improving them with the English language and with using a computer,To my facilitators I will like to thank for your patience in teaching us even though we are hard to teach but we mean well ,To the student of 2024 I would like to thank you for choosing this bridging year it is super helpful you will learn new things and have fun in all your module is not a difficult year but a fun one.
7/16/2024 8:26:22,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"How to communicate with other people 
How to use a compute better than before
To care and love one another","To use the compute
To speak English well
Time management",By building more classes because the are no enough classrooms.,Yes,That my future is in my hands and instead of sleeping at home I should be more serious my future because time is not on my side ,Would take life more serious for the sake of my future and would take my studies much further,Yes,Because so far I have learnt many things and I would love if other people would also gain the knowledge that I have gained so far,Treat each and every learner the same and also show them the respect you have been showing me,When I first arrived here at GWF I was very shy because I did not know anyone but as time goes I ended making friends and they were all friendly that is where I started to feel like I really belong here. If you want things to go well with you have some respect and do all the work the facilitators needs and things will really work out good for you. THANK YOU
7/16/2024 8:26:46,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"high self-esteem.
personal development.
higher learning potential.
","I was struggling with excel spreadsheet .
Attending on weekends.
I had low self-esteem like being afraid to present .
",I would say  they should give the students  a transportation allowance of at least R500 per month.,Yes,The most important thing that i have learnt about myself is that am good  at presentation i can do a presentation from introduction to conclusion without any mistakes  .,improving on my studies by scoring 95% and above,Yes,"It because i have seen how the BYA programme works wonders ,i`m the testimony .
",Keep it up guys ,You guys are the best classmates i never had 
7/16/2024 8:26:49,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"Knowledge
Skills
Clever","To stand in front of students and present, it became a challenge for me, because I am shy.",I do not see anything that needs to be improved so far because everything seems good.,Yes,I should not undermine myself and I must continue thriving for a better future.,Continue listening to facilitators and do all the activities they ask me to do.,Yes,"This program has a better future for the youth and for those who does not know what to do after matric, they can enroll on this program.",Thanks to the BYA program for the knowledge and skills I got. It is a good journey for me now I know my way forward for the future.,It is a pleasure to find yourself learning at GWF so we must not undermine the opportunity they gave to us.
7/16/2024 8:26:56,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Being honestly
Know to communicate with other people
Personal development","Being extrovert 
Take a charity on challenges 
Low self confidence ",You can improve only we understand each other when we have challenge and it can also improve if you treat people equal .,Yes,"I learn how to behave ,  being honestly , being a person who know how to communicate with other people .","I will be a good person and treat people good , tell people in our community about this Programme",Yes,Lots of people are not doing nothing and i am willing to tell them more about this programme ,I am very happy and i know lots of things because of you i hope this will make you proud of us in the end of the year . And i am thankful because this can help me in future in my life forever .,"I am very happy about you guys since i am here i am very happy because of you guys thanks for the love , peace and joy you give me and i hope this will continue like this until the end ."
7/16/2024 8:27:00,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"Speck out my voice
To have a positive mind
To believe in my self 
",No challenges so far so good,To studying my books,Yes,That I can work under pressure,To give my self enough time in my books,Yes,Because this program will help them to up lift they skills,Let keep on having respect for each other( Yes),Yes
7/16/2024 8:28:14,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"Learning how to use a computer.
know more about the word processing ,Excel and etc.
More fun games I never learn in my past  
","time 
transport every day
study hard to pass the exam all the time ",Buy adding more other campurce,Yes,Be your self do not let anyone destroy your life,To pass with high percent ,Yes,youth must have a better education ,The must put more effort in their work ,The must be proud to be the 2024 BYA student .also education is the power of living 
7/16/2024 8:28:18,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Learn how to use a computer.
Always participate in class activities .
improving learning skills. ","First trying to adapt to know new people.
second always speak English  in class.
 Trying to know my facilitators one by one and also how they work .",By getting more teachers so that they can assist each other when there is more work to do . ,Yes,That l can read well,Participate more in class and outside class.,Yes,Because this program me is useful and you can learn about things that you don't know about yourself.,Thank you for teaching us even though is hard but you guys are notT giving up on us.,That to be a GWF students is a good thing ever because you learn new things every day .
7/16/2024 8:28:37,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"I have learned a lot of things.
I made new friends.
I met people from different places.","I was not able to write my first ready to work test because the system is slow.
I still lack confidence because I am afraid to stand in front of people.
I really found module 4 so difficult but am glad that I ended up improving.",You should build more classes for learners because there are many student who are willing to be here.,Yes,I have learnt that I am a strong girl who is capable of making it in life some day.,I will improve my marks and make sure that I never fail in any of my modules.,Yes,BYA makes a lot of different from people`s lives and it help us a lot.,"It has been a great journey so far being with you here because you treated all of us with respect, love and care.","It was a great journey so far being here, I have experienced best moments of my life and am glad that I chose this school. "
7/16/2024 8:28:43,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I learnt how to use computer .
I learnt how to communicate with other people.
I learnt to help others.","Seeing new faces.
Being around many people.
Being scared if they would except me.",By creating or opening more learning modules.,Yes,Is that I should believe in myself and never let myself down. and that if I tell myself I could do it I really do.,I will continue with my studies and gain more knowledge.,Yes,This program could be a real help to others it could help them to know what they want in life if ever they did not know or they were not sure.,I would love to take this opportunity and thank my team and facilitators for the love and respect we showed each other . I pray you guys be this kind to others not just me only. I am very happy to know and spend a year with you. Thank you for everything.,"Dear 2024 student it was lovely to meet you, we showed each other respect and there was peace among us. if ever you going to other college please continue being kind to others and take your books very serious also take what the facilitators say to you. Thank you."
7/16/2024 8:28:49,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,That by putting more effort in my studies i see positive results. My English vocabulary has increased because we always communicate in English here at GWF. I made new relations with people that i met here and they are very nice which is a win for me.,"I find it hard to keep up with my school work. I feel as if we study a lot to be honest there is no free time, i get that they are trying to push us to be the best versions of ourselves but there work is too much. My last challenge is that we study for short hours but still get a lot of work i feel as if they should increase the hours.",By increasing the hours of learning. ,Yes,"That i have to put more effort, be more focused on my studies and always make time i can pass all my modules.",Be more focused about my studies and make time for them.,Yes,Because it has helped me a lot and it still is because i am still learning a lot of things.,"Thank you for helping us through out the year by teaching us i am very grateful i shall never forget about you all, you made my experience at GWF very nice, fun and educational. ","It was nice sharing a class with all of you, you made me feel welcome. "
7/16/2024 8:28:56,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"It gave me knowledge about using a computer
I am now confident around others because of the programme
my English communication skills have improved
 ","Struggling to attend class early because of transportation
Not able to have lunch money for my extra classes
Failing to get 100% on my modules
","by having more computers, classes and stuff so that at least 250 people can study in GWF",Yes,That I am not a lazy person and I crave knowledge ,I will make sure I get 100% for any upcoming module ,Yes,Because having computer skills is very vital in the world we live in currently ,"I enjoy you guys teaching, you make everything seem so easy and treat all of us fairly. God bless y'all especially Mrs. Emerlda",Y'all cool and friendly I love you guys especially my class(group A). Let's do our best and strive for success. 2024 it is our year!
7/16/2024 8:29:18,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,To treat people equal. Always want to learn new things. To always work hard,It was not easy for to understand module 3. To understand what was module 6. to understand how to treat people equal. ,To work very hard than before,Yes,Is that I must always believe in my self  ,I would like to work hard than before,Yes,because it is a very good programme and they can gain more knowledge ,yes,Always tell your self that you can make it no matter what you can face just believe in your self
7/16/2024 8:29:46,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,I gained more knowledge,I did not finish my exam in time. the time was not enough ,give us more time during exam,Yes,always go for what is good for me,stay positive and work hard ,Yes,because is for their own benefits,some facilitator don't know how to talk to people nice. ,always focus on what you want don't allow other people talk negative thing
7/16/2024 8:30:09,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"I have learned to communicate effectively.
I can use computer on my own.
I have learned that you must respect every person.","The challenges i have experienced is that i was afraid to speak in front of many people but I've learned that it's a thing that i must practice be at GWF  you present everyday.
The other challenge  i had was the class the mate ,they don't speak in a good manner.
The work is too much.",To start or to open the class in January.,Yes,I'm improving my English skill.,To focus more on my studies.,Yes,This program is one of the good i've learned a lot in a short period of time.,"BYA team is one of the best teams in the world they work together and their work is amazing  i wish we can have teachers like then in our country, teachers who are will teach not to play with their phones.",I really enjoy my self in the BYA it is a great year to me and I'm still learning new things. 
7/16/2024 8:30:39,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"learning word processing 
English bite size to improve my  speaking and writing skills.
learning  presentation and excel.","Communication
Time management
To use computer.",adding online career  short courses.,Yes,I am able to participate and  multitask my academics.,working hard and try to strategize my career academics.,Yes,To learn more about the bridging year academy and what it offers to them.,I would love to take this opportunity to thank all the BYA team (Facilitators and Coordinator for giving all their time and energy to teach us and wanting us to achieve more.,Time management and dedication is the key to success.
7/16/2024 8:31:54,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"Time management
Learning Computer
Self Confidence and Well Organized","Learning an excel module
Playing 30 seconds game
Self confidence",We could improve the BYA by managing time and be well organized.,Yes,I have learnt to be motivated and keep going until I reach my destination.,Pass the module that are left my self and improve my English speaking language.,Yes,Because it will help people who are will to learn next year.,Thank you for teaching me how to be self confidence and to know how to use a computer.,I wish you all a wonderful journey.
7/16/2024 8:32:04,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"Experienced knowledge, skills and knowing how to talk English.","Speaking English in class
Teaching with different facilitators
How to use a computer",By going forward with the education keep pushing on teaching learners who is serious with education.,Yes,"The thing that I learnt with myself is that I must not give up with my studies, always have a pressure that one day I will fulfill my dreams.",I will go to college to study for teaching or to come back at GWF to study for being a Facilitator.,Yes,Because at GWF you are able to gain some skills and knowledge and the are good Facilitators.,Thank you for giving me a chance to learn at GWF Bridging year academy. I now gain some skills and knowledge on how to do ICDL and how to talk English . I really appreciate everything you have done I hope you will treat others next year the way you have treated me. Thank you again.,It was good year to be with you guys and thank you for accepting me to be a team. I hope all of us we will complete this program together.
7/16/2024 8:32:10,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I have experienced love, and to be kind and to teach each other good things and also experienced to talk to people and how to treat them and to be in the best way to learn ",The challenges that l had in this programmer is that my English and the word and also getting to know Excels ,You could improve it by giving us chances to learn more about the things and also give us time to get to know this things Or make us experience more about BYA ,Yes,I have learnt that l am hard working person,I would do IST for the second half year,Yes,Because it can help them to kwon there self and also to find their self they are standing with life and how hard are they going to work,Yes,Yes
7/16/2024 8:32:53,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I learned how to be more capable when I use a computer
I learned how to communicate with others
How to be creative","How to do excel work it was challenging 
facing new faces
How to do my presentation work","By helping people who are slow in doing their work , by helping them to do it well",Yes,"I have learnt that, I have been improving in my all work",I will learn how to be fast when doing work,Yes,It's an easy thing and I would like share it to others so that they can learn how to use an computer,"I would like to thank you for taking your time and teach us how to use computers , these lot of things you have been teaching us this , keep up the good work ,and do it to other kids next year.",I would like to say thank you for taking chances of not give up on your school work
7/16/2024 8:32:57,Hazyview Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"To have positive mind in everything I'm doing
To  communicate with new people
To be sure about you self and make you goal come true","To meet new people it wasn't easy because same of us we are sunny 
To meet new facilitator or sister and brother or new family 
To use digital footprint for the first time ",we could improve the BYA by doing more things like rehab coz some student have emotionally stress so if we make 1 hour to share everything that might disturbed you from achieving you goals the can able to help you reduced you mind that can be helpfully to everyone who is attending at BYa.,Yes,Is that in life you don't give up until you make you dream come true,TO make sure I pass each an every  module that is still on due to be written  with 100%,Yes,Because  I find it useful and it can help more others,IM happy to meet you and the knowledge that you are share with us as your student,guys are you sure we i going to make it?
7/16/2024 8:33:41,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"I learn how to use computer
I have gain knowledge 
I know see how my life going","Is how hard computer is at the first place
Is to face the exam time not knowing what to expect
At the end i overcome and pass i never fail even once up to so far",Is to add another hour in lessons and cancel the outside lesson.,Yes,I learn that whatever challenge you face don't let it to affect your career,I will study harder,Yes,because it is a start of the career it it will help to get a job fast because most of the company need computer,Nothing much to say just to appreciate the respect and the good lesson you gave us.,I will advice to stay focus and attend the class everyday .
